sku,base_sku,original_code,name,description,brand,category,base_price,active,source_status,source_sheet,source_row
SIN MARCA IDENTIFICADA-E-1132,SIN MARCA IDENTIFICADA-E-1132,E-1132,GENERADOR DE NITROGENO 1 LLANTA MANUAL E-1132,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,18700.00,true,Activo,SIN MARCA IDENTIFICADA,55
SIN MARCA IDENTIFICADA-E1170,SIN MARCA IDENTIFICADA-E1170,E1170,GENERADOR DE NITROGENO CAMION E1170,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,63500.00,true,Activo,SIN MARCA IDENTIFICADA,56
SIN MARCA IDENTIFICADA-E-1135,SIN MARCA IDENTIFICADA-E-1135,E-1135,GENERADOR DE NITROGENO 1 LLANTA AUTOMATICO E-1135,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,22100.00,true,Activo,SIN MARCA IDENTIFICADA,57
SIN MARCA IDENTIFICADA-E-1160,SIN MARCA IDENTIFICADA-E-1160,E-1160,GENERADOR DE NITROGENO 4 LLANTAS AUTOMATICO E-1160,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,35200.00,true,Activo,SIN MARCA IDENTIFICADA,58
SIN MARCA IDENTIFICADA-A-1053,SIN MARCA IDENTIFICADA-A-1053,A-1053,ANALIZADOR DE NITROGENO,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,6200.00,true,Activo,SIN MARCA IDENTIFICADA,59
SIN MARCA IDENTIFICADA-E-010OD,SIN MARCA IDENTIFICADA-E-010OD,E-010OD,INFLADOR DE AIRE DE BANCO,,SIN MARCA IDENTIFICADA,GENERADORES DE NITROGENO,10400.00,true,Activo,SIN MARCA IDENTIFICADA,60
SIN MARCA IDENTIFICADA-BEF01,SIN MARCA IDENTIFICADA-BEF01,BEF01,ADAPTADOR DE MOTO PARA BALANCEADORA,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,6700.00,true,Activo,SIN MARCA IDENTIFICADA,62
SIN MARCA IDENTIFICADA-DEF02,SIN MARCA IDENTIFICADA-DEF02,DEF02,CALIPER (COMPAS P/BALANCEADORA),,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,156.60,true,Activo,SIN MARCA IDENTIFICADA,63
SIN MARCA IDENTIFICADA-1200-0242,SIN MARCA IDENTIFICADA-1200-0242,1200-0242,JUEGO DE CONOS DE CAMION,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,6600.00,true,Activo,SIN MARCA IDENTIFICADA,64
SIN MARCA IDENTIFICADA-BCF01,SIN MARCA IDENTIFICADA-BCF01,BCF01,CALIPER DE CAMION PARA BALANCEADORA,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,500.00,true,Activo,SIN MARCA IDENTIFICADA,65
SIN MARCA IDENTIFICADA-DEF03,SIN MARCA IDENTIFICADA-DEF03,DEF03,"MARIPOSA PARA BALANCEADORA (36,38,40)",,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,1430.00,true,Activo,SIN MARCA IDENTIFICADA,66
SIN MARCA IDENTIFICADA-BCF03,SIN MARCA IDENTIFICADA-BCF03,BCF03,MARIPOSA PARA BALANCEADORA CAMION 42MM,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,2000.00,true,Activo,SIN MARCA IDENTIFICADA,67
SIN MARCA IDENTIFICADA-DEF04,SIN MARCA IDENTIFICADA-DEF04,DEF04,PATO PARA DESMONTADOR,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,726.00,true,Activo,SIN MARCA IDENTIFICADA,68
SIN MARCA IDENTIFICADA-DEF05,SIN MARCA IDENTIFICADA-DEF05,DEF05,PATO DE PLASTICO PARA DESMONTADOR,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,850.00,true,Activo,SIN MARCA IDENTIFICADA,69
SIN MARCA IDENTIFICADA-DEF06,SIN MARCA IDENTIFICADA-DEF06,DEF06,PROTECTOR DE PATO,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,88.00,true,Activo,SIN MARCA IDENTIFICADA,70
SIN MARCA IDENTIFICADA-DEF07,SIN MARCA IDENTIFICADA-DEF07,DEF07,ESPATULA PARA DESMONTADOR AUTOMATICO,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,314.60,true,Activo,SIN MARCA IDENTIFICADA,71
SIN MARCA IDENTIFICADA-DEF08,SIN MARCA IDENTIFICADA-DEF08,DEF08,ESPATULA PARA DESMONTADOR CON PROTECCIÓN PLASTICA,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,363.00,true,Activo,SIN MARCA IDENTIFICADA,72
SIN MARCA IDENTIFICADA-DEF09,SIN MARCA IDENTIFICADA-DEF09,DEF09,BAJA CEJAS,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,363.00,true,Activo,SIN MARCA IDENTIFICADA,73
SIN MARCA IDENTIFICADA-DEF10,SIN MARCA IDENTIFICADA-DEF10,DEF10,PROTECTOR DE PLASTICO P/RIN,,SIN MARCA IDENTIFICADA,ACCESORIOS PARA BALANCEADORAS Y DESMONTADORAS,88.00,true,Activo,SIN MARCA IDENTIFICADA,74
SIN MARCA IDENTIFICADA-COE12,SIN MARCA IDENTIFICADA-COE12,COE12,COMPERSOR PORTATIL DE AIRE PARA EMERGENCIAS,,SIN MARCA IDENTIFICADA,COMPRESORES,555.00,true,Activo,SIN MARCA IDENTIFICADA,76
SIN MARCA IDENTIFICADA-COE17,SIN MARCA IDENTIFICADA-COE17,COE17,COMPRESOR SILENCIOSO 24L,,SIN MARCA IDENTIFICADA,COMPRESORES,4158.00,true,Activo,SIN MARCA IDENTIFICADA,77
SIN MARCA IDENTIFICADA-COE03,SIN MARCA IDENTIFICADA-COE03,COE03,COMPRESOR 2 HP TANQUE 108 LTS 110 V.,,SIN MARCA IDENTIFICADA,COMPRESORES,8444.80,true,Activo,SIN MARCA IDENTIFICADA,78
SIN MARCA IDENTIFICADA-COE04,SIN MARCA IDENTIFICADA-COE04,COE04,COMPRESORA MINI 2.5 HP TANQUE 25 LTS. 110 V.,,SIN MARCA IDENTIFICADA,COMPRESORES,2267.80,true,Activo,SIN MARCA IDENTIFICADA,79
SIN MARCA IDENTIFICADA-COE01,SIN MARCA IDENTIFICADA-COE01,COE01,COMPRESOR 1 HP TANQUE 50 LTS 110 V.,,SIN MARCA IDENTIFICADA,COMPRESORES,5137.00,true,Activo,SIN MARCA IDENTIFICADA,80
SIN MARCA IDENTIFICADA-COE05,SIN MARCA IDENTIFICADA-COE05,COE05,COMPRESOR 2.5 HP TANQUE 50 LTS 110 V.,,SIN MARCA IDENTIFICADA,COMPRESORES,2552.00,true,Activo,SIN MARCA IDENTIFICADA,81
SIN MARCA IDENTIFICADA-COE06,SIN MARCA IDENTIFICADA-COE06,COE06,COMPRESOR 3 HP TANQUE 225 LTS 110V.,,SIN MARCA IDENTIFICADA,COMPRESORES,12499.00,true,Activo,SIN MARCA IDENTIFICADA,82
SIN MARCA IDENTIFICADA-COE18,SIN MARCA IDENTIFICADA-COE18,COE18,COMPRESOR 5 HP TANQUE 300L VERTICAL 220V,,SIN MARCA IDENTIFICADA,COMPRESORES,19720.00,true,Activo,SIN MARCA IDENTIFICADA,83
SIN MARCA IDENTIFICADA-COE19,SIN MARCA IDENTIFICADA-COE19,COE19,COMPRESOR 5 HP TANQUE 300L HORISONTAL 220V,,SIN MARCA IDENTIFICADA,COMPRESORES,19720.00,true,Activo,SIN MARCA IDENTIFICADA,84
